frame,type,x,yOffset
0,alien1,150,0
0,alien1,200,0
0,alien1,250,0
0,alien1,300,0
0,alien1,350,0
0,bomb,150,0
500,alien1,250,0
500,alien1,250,50
500,alien1,250,100
500,alien1,250,150
500,alien1,250,200
500,speed,198,0
1000,alien1,150,0
1000,alien1,350,0
1000,alien1,200,50
1000,alien1,300,50
1000,alien1,250,100
1000,alien1,200,150
1000,alien1,300,150
1000,alien1,150,200
1000,alien1,350,200
1000,multi,132,0
1000,multi,405,0
1500,alien1,100,0
1500,alien1,150,0
1500,alien1,200,0
1500,alien1,100,100
1500,alien1,150,100
1500,alien1,200,100
1500,alien1,250,0
1500,alien1,300,0
1500,alien1,350,0
1500,alien1,400,0
1500,alien1,450,0
2000,alien1,200,0
2000,alien1,250,0
2000,alien1,300,0
2000,alien1,200,100
2000,alien1,250,100
2000,alien1,300,100
2500,alien1,250,0
2500,alien1,225,25
2500,alien1,275,25
2500,alien1,250,75
2500,alien1,250,100
2500,alien1,250,150
2500,multi,331,0
3000,alien1,150,0
3000,alien1,200,0
3000,alien1,250,0
3000,alien1,300,0
3000,alien1,350,0
3500,alien1,50,0
3500,alien1,150,0
3500,alien1,250,0
3500,alien1,100,50
3500,alien1,200,50
3500,alien1,150,100
3500,alien1,150,150
3500,alien1,300,0
3500,alien1,350,0
3500,alien1,400,0
3500,alien1,300,100
3500,alien1,350,100
3500,alien1,400,100
4000,alien1,200,0
4000,alien1,250,0
4000,alien1,300,0
4000,alien1,250,100
4000,alien1,250,200
4000,alien1,200,100
4000,alien1,300,100
4000,speed,145,0
4500,alien1,150,0
4500,alien1,125,25
4500,alien1,175,25
4500,alien1,150,75
4500,alien1,150,100
4500,alien1,150,150
4500,alien1,350,0
4500,alien1,325,25
4500,alien1,375,25
4500,alien1,350,75
4500,alien1,350,100
4500,alien1,350,150
5000,alien1,150,0
5000,alien1,200,0
5000,alien1,250,0
5000,alien1,300,0
5000,alien1,350,0
5500,alien1,150,0
5500,alien1,125,25
5500,alien1,175,25
5500,alien1,150,75
5500,alien1,150,100
5500,alien1,150,150
5500,alien1,300,0
5500,alien1,350,0
5500,alien1,400,0
5500,alien1,300,100
5500,alien1,350,100
5500,alien1,400,100
5500,multi,363,0
6000,alien1,250,0
6000,alien1,200,50
6000,alien1,300,50
6000,alien1,175,100
6000,alien1,325,100
6000,alien1,200,150
6000,alien1,300,150
6000,alien1,250,200
6000,multi,89,0
6000,speed,405,0
6500,alien1,250,0
6500,alien1,200,50
6500,alien1,300,50
6500,alien1,175,100
6500,alien1,325,100
6500,alien1,200,150
6500,alien1,300,150
6500,alien1,250,200
7000,alien1,50,0
7000,alien1,150,0
7000,alien1,250,0
7000,alien1,100,50
7000,alien1,200,50
7000,alien1,150,100
7000,alien1,150,150
7000,alien1,250,0
7000,alien1,450,0
7000,alien1,300,50
7000,alien1,400,50
7000,alien1,350,100
7000,alien1,300,150
7000,alien1,400,150
7000,alien1,250,200
7000,alien1,450,200
7000,speed,235,0
7500,alien1,250,0
7500,alien1,225,25
7500,alien1,275,25
7500,alien1,250,75
7500,alien1,250,100
7500,alien1,250,150
8000,alien1,250,0
8000,alien1,200,50
8000,alien1,300,50
8000,alien1,175,100
8000,alien1,325,100
8000,alien1,200,150
8000,alien1,300,150
8000,alien1,250,200
8000,speed,68,0
8500,alien1,150,0
8500,alien1,100,50
8500,alien1,200,50
8500,alien1,75,100
8500,alien1,225,100
8500,alien1,100,150
8500,alien1,200,150
8500,alien1,150,200
8500,alien1,250,0
8500,alien1,350,0
8500,alien1,450,0
8500,alien1,300,50
8500,alien1,400,50
8500,alien1,350,100
8500,alien1,350,150
9000,alien1,150,0
9000,alien1,200,0
9000,alien1,250,0
9000,alien1,300,0
9000,alien1,350,0
9000,multi,255,0
9500,alien1,50,0
9500,alien1,250,0
9500,alien1,100,50
9500,alien1,200,50
9500,alien1,150,100
9500,alien1,100,150
9500,alien1,200,150
9500,alien1,50,200
9500,alien1,250,200
9500,alien1,350,0
9500,alien1,325,25
9500,alien1,375,25
9500,alien1,350,75
9500,alien1,350,100
9500,alien1,350,150
9500,speed,433,0
10000,alien1,250,0
10000,alien1,225,25
10000,alien1,275,25
10000,alien1,250,75
10000,alien1,250,100
10000,alien1,250,150
10500,alien1,150,0
10500,alien1,100,50
10500,alien1,200,50
10500,alien1,75,100
10500,alien1,225,100
10500,alien1,100,150
10500,alien1,200,150
10500,alien1,150,200
10500,alien1,250,0
10500,alien1,350,0
10500,alien1,450,0
10500,alien1,300,50
